Ticker,Date,Net Flows*
BFIT,2019-03-05,0.01
BCI,2019-03-05,0.0
BBJP,2019-03-05,-234.94
BBEU,2019-03-05,47.06
BBC,2019-03-05,0.0
BBAX,2019-03-05,0.0
BAR,2019-03-05,0.0
BAL,2019-03-05,0.0
AWTM,2019-03-05,0.0
ATMP,2019-03-05,-2.31
ASHX,2019-03-05,32.31
ASHS,2019-03-05,4.21
ASHR,2019-03-05,142.99
BCD,2019-03-05,0.0
ASET,2019-03-05,0.0
ARKW,2019-03-05,0.0
ARKQ,2019-03-05,0.0
AUSF,2019-03-05,4.83
ASEA,2019-03-05,-0.0
AGT,2019-03-05,0.0
ACSG,2019-03-05,0.0
AGGP,2019-03-05,-0.95
BDRY,2019-03-05,0.0
BCM,2019-03-05,-0.02
BBCA,2019-03-05,0.0
AFTY,2019-03-05,0.0
ALFA,2019-03-05,0.0
AFK,2019-03-05,0.0
ADME,2019-03-05,1.41
BBRE,2019-03-05,0.0
ACWX,2019-03-05,0.0
AADR,2019-03-05,0.0
BAB,2019-03-05,0.0
AGGY,2019-03-05,0.0
AFIF,2019-03-05,0.0
AIIQ,2019-03-05,0.0
ARCM,2019-03-05,0.0
AMUB,2019-03-05,0.0
BBP,2019-03-05,0.0
AGQ,2019-03-05,0.0
AGZ,2019-03-05,0.0
ACSI,2019-03-05,0.0
ALTY,2019-03-05,-0.0
AMLP,2019-03-05,2.44
AIRR,2019-03-05,-1.28
ACWV,2019-03-05,0.0
AAAU,2019-03-05,0.0
ACWF,2019-03-05,0.0
AGZD,2019-03-05,0.0
AIEQ,2019-03-05,0.0
ACWI,2019-03-05,0.0
AIA,2019-03-05,12.21
ARKF,2019-03-05,0.0
BDCS,2019-03-05,0.0
BBH,2019-03-05,0.0
BATT,2019-03-05,0.0
ARKK,2019-03-05,2.31
AAXJ,2019-03-05,0.0
ALTS,2019-03-05,0.0
AMCA,2019-03-05,0.0
AMJ,2019-03-05,-1.19
ACES,2019-03-05,0.0
ACT,2019-03-05,0.0
AMU,2019-03-05,0.0
AMZA,2019-03-05,0.0
ANGL,2019-03-05,8.53
ADRE,2019-03-05,0.0
AOA,2019-03-05,0.0
AOK,2019-03-05,0.0
BDCZ,2019-03-05,0.0
AGG,2019-03-05,0.0
AOM,2019-03-05,0.0
ARKG,2019-03-05,0.0
AIQ,2019-03-05,-0.01
AOR,2019-03-05,0.0
ARGT,2019-03-05,-0.0
CBON,2019-03-05,0.0
CATH,2019-03-05,-0.03
CARZ,2019-03-05,0.0
CAPE,2019-03-05,0.0
BZQ,2019-03-05,0.0
BYLD,2019-03-05,0.0
BWZ,2019-03-05,0.0
BTAL,2019-03-05,0.0
BSV,2019-03-05,23.63
BSJQ,2019-03-05,0.0
CALF,2019-03-05,0.0
BSJP,2019-03-05,0.0
BSJO,2019-03-05,0.0
BSJN,2019-03-05,0.0
BNDW,2019-03-05,1.88
BVAL,2019-03-05,0.0
BNDC,2019-03-05,0.0
BND,2019-03-05,0.0
BWX,2019-03-05,0.0
BOSS,2019-03-05,-0.0
BSJK,2019-03-05,0.0
BLV,2019-03-05,0.0
BMLP,2019-03-05,0.0
BKLN,2019-03-05,0.0
BNDX,2019-03-05,12.33
BIBL,2019-03-05,0.0
BSJM,2019-03-05,0.0
BLOK,2019-03-05,0.0
BFOR,2019-03-05,0.0
BSCL,2019-03-05,6.26
BSJL,2019-03-05,0.0
BSCK,2019-03-05,3.17
BOCT,2019-03-05,0.0
BSCM,2019-03-05,3.13
BSCN,2019-03-05,6.14
BLCN,2019-03-05,0.0
BLHY,2019-03-05,0.0
BIL,2019-03-05,-50.29
BJUL,2019-03-05,0.0
CACG,2019-03-05,0.01
BLES,2019-03-05,0.0
BIV,2019-03-05,8.2
BIS,2019-03-05,0.0
BICK,2019-03-05,0.0
BSDE,2019-03-05,0.0
BTEC,2019-03-05,0.0
BOIL,2019-03-05,0.0
BSCP,2019-03-05,0.0
BIZD,2019-03-05,0.0
BSBE,2019-03-05,0.0
BSCS,2019-03-05,0.0
BOND,2019-03-05,0.0
CANE,2019-03-05,0.0
BUY,2019-03-05,0.0
BKF,2019-03-05,0.0
BSCR,2019-03-05,0.0
BNO,2019-03-05,0.0
BOTZ,2019-03-05,0.01
BGRN,2019-03-05,0.0
BOUT,2019-03-05,0.0
BIB,2019-03-05,-2.9
BJK,2019-03-05,0.0
BRF,2019-03-05,0.0
BRZU,2019-03-05,3.24
BSAE,2019-03-05,0.0
BSCQ,2019-03-05,0.0
BSCO,2019-03-05,3.06
DBP,2019-03-05,0.0
DBO,2019-03-05,0.0
DBLV,2019-03-05,0.0
DBJP,2019-03-05,0.0
DBGR,2019-03-05,0.0
DBEM,2019-03-05,0.0
DBEF,2019-03-05,-18.58
DBE,2019-03-05,0.0
DBAW,2019-03-05,0.0
DAX,2019-03-05,-0.0
DALT,2019-03-05,0.5
DALI,2019-03-05,0.99
CWI,2019-03-05,0.0
CWEB,2019-03-05,0.0
CVY,2019-03-05,-54.87
CUT,2019-03-05,0.0
CURE,2019-03-05,0.0
CSM,2019-03-05,0.0
CSF,2019-03-05,0.0
CSD,2019-03-05,0.0
CROP,2019-03-05,0.0
CROC,2019-03-05,0.0
CQQQ,2019-03-05,0.0
CSB,2019-03-05,0.0
CPER,2019-03-05,0.0
CXSE,2019-03-05,0.0
CPI,2019-03-05,0.0
CORP,2019-03-05,0.0
CORN,2019-03-05,0.0
DBS,2019-03-05,0.0
DBEU,2019-03-05,0.0
CZA,2019-03-05,0.0
COPX,2019-03-05,-0.0
DBB,2019-03-05,0.0
CHIK,2019-03-05,-0.0
DAUD,2019-03-05,0.0
CHII,2019-03-05,-0.0
CIBR,2019-03-05,0.0
CSA,2019-03-05,0.0
CHIE,2019-03-05,-0.0
DBA,2019-03-05,0.0
COM,2019-03-05,-1.2
CHIM,2019-03-05,-0.0
CFO,2019-03-05,0.0
CNXT,2019-03-05,1.39
CHIC,2019-03-05,-0.01
CGW,2019-03-05,0.0
CYB,2019-03-05,0.0
CNRG,2019-03-05,0.0
CHGX,2019-03-05,0.0
CHAD,2019-03-05,0.0
CHIQ,2019-03-05,1.65
CFA,2019-03-05,0.0
CHAU,2019-03-05,0.0
CLIX,2019-03-05,0.0
DBC,2019-03-05,0.0
CWB,2019-03-05,0.0
CEY,2019-03-05,0.0
CHEP,2019-03-05,0.0
CEMB,2019-03-05,0.0
CDC,2019-03-05,0.0
DBEZ,2019-03-05,0.0
CEW,2019-03-05,0.0
CCOR,2019-03-05,-0.01
CEZ,2019-03-05,0.0
COWZ,2019-03-05,1.47
CHIU,2019-03-05,0.0
CHIX,2019-03-05,0.01
CRAK,2019-03-05,0.0
CLRG,2019-03-05,0.0
CSML,2019-03-05,0.0
CHIL,2019-03-05,-0.0
CHIS,2019-03-05,0.0
CHNA,2019-03-05,0.0
CDL,2019-03-05,0.0
CID,2019-03-05,0.0
CIZ,2019-03-05,0.0
CHIR,2019-03-05,-0.0
CLTL,2019-03-05,0.0
CHIH,2019-03-05,0.0
CMBS,2019-03-05,0.0
CMDY,2019-03-05,0.0
CRBN,2019-03-05,0.0
COMB,2019-03-05,0.0
COMT,2019-03-05,0.0
CEFS,2019-03-05,0.0
CMF,2019-03-05,5.85
CWS,2019-03-05,0.0
CIL,2019-03-05,0.0
CN,2019-03-05,115.96
CNCR,2019-03-05,0.0
CNYA,2019-03-05,4.33
DWAT,2019-03-05,0.0
DVYE,2019-03-05,0.0
DWAS,2019-03-05,0.0
DVYA,2019-03-05,0.0
DVY,2019-03-05,0.0
DUSL,2019-03-05,0.0
DUSA,2019-03-05,0.0
DURA,2019-03-05,0.0
DWCR,2019-03-05,0.0
DUG,2019-03-05,0.0
DTYL,2019-03-05,0.0
DTUL,2019-03-05,0.0
DTN,2019-03-05,0.0
DTEC,2019-03-05,0.0
DVLU,2019-03-05,0.0
DTD,2019-03-05,0.0
DSTL,2019-03-05,4.5
DSLV,2019-03-05,0.0
DSI,2019-03-05,0.0
DUST,2019-03-05,-16.99
DTUS,2019-03-05,0.0
DRW,2019-03-05,0.0
DRV,2019-03-05,0.77
DRIP,2019-03-05,0.0
DPST,2019-03-05,0.0
DOO,2019-03-05,0.0
DOG,2019-03-05,2.77
DNL,2019-03-05,0.0
DMRM,2019-03-05,0.0
DJPY,2019-03-05,0.0
DJD,2019-03-05,1.81
DIVY,2019-03-05,0.0
DFND,2019-03-05,0.0
DFJ,2019-03-05,0.0
DDM,2019-03-05,0.0
DLS,2019-03-05,0.0
DEW,2019-03-05,0.0
DEUR,2019-03-05,0.0
DFNL,2019-03-05,-0.0
DGRW,2019-03-05,0.0
DDWM,2019-03-05,0.0
DOL,2019-03-05,0.0
DEEF,2019-03-05,0.0
DCHF,2019-03-05,0.0
DIVB,2019-03-05,0.0
DFE,2019-03-05,0.0
DIV,2019-03-05,1.19
DEFA,2019-03-05,0.0
DEEP,2019-03-05,0.0
DMDV,2019-03-05,0.0
DIG,2019-03-05,0.0
DRSK,2019-03-05,0.0
DEUS,2019-03-05,0.0
DINT,2019-03-05,-0.0
DRIV,2019-03-05,-0.01
DEM,2019-03-05,0.0
DVOL,2019-03-05,0.0
DGAZ,2019-03-05,2.22
DMRS,2019-03-05,0.0
DDG,2019-03-05,0.0
DDLS,2019-03-05,0.0
DMRI,2019-03-05,0.0
DGLD,2019-03-05,0.0
DEF,2019-03-05,0.0
DLN,2019-03-05,-9.32
DJCI,2019-03-05,0.0
DFVS,2019-03-05,0.0
DTH,2019-03-05,0.0
DJP,2019-03-05,-7.41
DGS,2019-03-05,0.0
DIVO,2019-03-05,0.0
DDIV,2019-03-05,0.0
DGL,2019-03-05,0.0
DFVL,2019-03-05,0.0
DGT,2019-03-05,0.0
DES,2019-03-05,0.0
DGBP,2019-03-05,0.0
DGP,2019-03-05,0.0
DON,2019-03-05,10.76
DGRE,2019-03-05,0.0
DMRL,2019-03-05,0.0
DGRO,2019-03-05,42.06
DGRS,2019-03-05,0.0
DGZ,2019-03-05,0.0
DHS,2019-03-05,0.0
DIA,2019-03-05,77.49
DIAL,2019-03-05,0.0
DRN,2019-03-05,0.0
DFEN,2019-03-05,0.0
DIM,2019-03-05,0.0
DBV,2019-03-05,0.0
DIVA,2019-03-05,0.0
DIVC,2019-03-05,0.0
EPOL,2019-03-05,0.0
EPHE,2019-03-05,-1.68
EPP,2019-03-05,0.0
ENTR,2019-03-05,0.0
ENOR,2019-03-05,-2.51
ENFR,2019-03-05,0.0
EMSH,2019-03-05,0.0
EMSG,2019-03-05,0.0
EMQQ,2019-03-05,0.01
EMMF,2019-03-05,0.0
EMLP,2019-03-05,9.66
ENZL,2019-03-05,0.0
EMIF,2019-03-05,0.0
EMDV,2019-03-05,0.0
EMHY,2019-03-05,0.0
EFZ,2019-03-05,0.0
EFV,2019-03-05,0.0
EMGF,2019-03-05,0.0
EMFM,2019-03-05,0.0
EFU,2019-03-05,0.0
EFG,2019-03-05,0.0
EKAR,2019-03-05,0.0
ECH,2019-03-05,-8.92
EMXC,2019-03-05,0.0
